name,place_id,city
Puskesmas Pembantu (Pustu) Angantaka,ChIJp9O9EH0-0i0Rz5Ae-4RVWKQ,Badung Regency
Puskesmas pembantu mekar bhuwana,ChIJqb7H3IA90i0RQwxiRyKumOs,Badung Regency
Puskesmas pembantu ayunan,ChIJQcS1_V890i0R2FwzPANWJC0,Badung Regency
Puskesmas Pembantu Abiansemal (Pustu),ChIJt6O9fs490i0RJfdpiLf1hL8,Badung Regency
Puskesmas Pembantu Mambal,ChIJrQkk-YU90i0RRcwplmn7YpI,Badung Regency
UPT Puskesmas Pembantu Dalung Permai,ChIJdQDs-sY40i0RRKGHk1eNm3U,Badung Regency
Puskesmas pembantu penarungan,ChIJ-S1vxTM90i0RtO9_M2sn5fg,Badung Regency
Puskesmas Pembantu Selat,ChIJs739kkcj0i0RqW7z6oK4z_Q,Badung Regency
Jagapaty community health center,ChIJ6VZjksk_0i0RRc00C81CN1s,Badung Regency
Puskesmas Pembantu Sangeh,ChIJybZbR0oj0i0RL7hyFDW0Pgo,Badung Regency
Puskesmas Pembantu Getasan,ChIJb2QNVvYj0i0R0T9T6Q6JN5s,Badung Regency
Puskesmas Pembantu Baha,ChIJR7ZkagA70i0RBEeA8T0Npms,Badung Regency
Puskesmas Pembantu (Pustu)Kapal,ChIJDw0R-nE50i0RA54JSmiIcOw,Badung Regency
Puskesmas Pembantu Mengwi,ChIJV9GioZY70i0RDnUziRhpDVs,Badung Regency
Puskemas Pembantu,ChIJJwVNm38_0i0RyId_LHGdQwI,Badung Regency
PUSKESMAS Pembantu . Tumbakbayuh,ChIJj2IIvhE50i0Rwlg4uEo1zzc,Badung Regency
UPTD. PUSKESMAS ABIANSEMAL I,ChIJ_XlxfAA90i0RbEGLiChZqak,Badung Regency
Puskesmas Pembantu Seminyak,ChIJd1wyCiNH0i0RVXvanXH73oM,Badung Regency
Puskesmas Pembantu Abianbase,ChIJraGUZAA50i0Rv4TgGaQB8_o,Badung Regency
Puskesmas Pembantu,ChIJOyzsox050i0R_dhMIJ_5t5E,Badung Regency
Puskesmas pembantu werdi bhuwana,ChIJE79vsoc70i0RREq_v3_ldPY,Badung Regency
Puskesmas Pembantu Desa Pererenan,ChIJndQuO1w40i0RrM_qfPqrHb4,Badung Regency
Puskesmas Pembantu Dalung,ChIJTVhrMd840i0RhxT7ovE9dWg,Badung Regency
Puskesmas Pembantu Desa Munggu,ChIJXRCauU440i0Rj4EzMxuMsUg,Badung Regency
Puskesmas Pembantu Sembung,ChIJD6CKZp8k0i0RN-TOmNmtZik,Badung Regency
Puskesmas Pembantu Desa Tibubeneng,ChIJH7c__n840i0RaCyK1ZRqZ0E,Badung Regency
Puskesmas Pembantu Canggu,ChIJsQGxWgA50i0RlMRJ5WK-aIY,Badung Regency
Puskesmas Pembantu Pangsan,ChIJaRsQ23Yh0i0RMnnQjw9nyb0,Badung Regency
puskesmas pembantu cemagi,ChIJuWf7KXA50i0R35-kNbifFrM,Badung Regency
Puskesmas pembantu Sulangai II,ChIJwwrGGxgh0i0R27RRVeb5Z_Y,Badung Regency
Puskesmas Pembantu Sulangai I,ChIJcYKi-cMg0i0RgAuMQoJD4gA,Badung Regency
Pertokoan bundaran,ChIJUfGMNgA50i0RFYqFhleIADA,Badung Regency
RUMAH FIRA,ChIJwXcUIlc50i0Rz9h0HDVdTzQ,Badung Regency
"Bundaran fried chicken, ayam geprek, teh poci aneka rasa cabang bundaran dalung",ChIJYyCABp450i0RTmoKNSH2sFI,Badung Regency
Taman desa Dalung,ChIJM3GANwA50i0R15r5sdxigP4,Badung Regency
1,ChIJYWNk--g50i0REqaM_1doH-c,Badung Regency
SD No. 2 Sangeh,ChIJmz3zPU8j0i0RMueGA0yq1dI,Badung Regency
SD NO 1 SANGEH,ChIJUeeuHEsj0i0RgsHYEuYDLFg,Badung Regency
SD No. 3 Sangeh,ChIJZ55NWrM80i0R_fGlwi6xUhs,Badung Regency
SD No. 1 Selat,ChIJM6mD8bU80i0RYq6lZHadw4U,Badung Regency
SD No. 1 Ayunan,ChIJqx70Ea480i0R0Bvgp5pd_KY,Badung Regency
SDN 2 Carangsari,ChIJhcNbehIj0i0R6wzER-v5jI8,Badung Regency
SD No. 5 Carangsari,ChIJp4n4Hgoj0i0RQFZwfWbppLs,Badung Regency
SD No. 1 Kuwum,ChIJN29VQgAl0i0R7Q0m_qy0Y0I,Badung Regency
SD No. 1 Sobangan,ChIJ2YIyLqg80i0Rld2BFHD-V4U,Badung Regency
SD NO. 1 TAMAN,ChIJieJgdPIj0i0RTYxvzfd41ac,Badung Regency
SD No. 6 Dalung,ChIJN3gc7qEk0i0RquVto5ZEoiw,Badung Regency
SD No. 3 Sembung,ChIJqxnBGugl0i0RW2dxKLGj-mQ,Badung Regency
SD No. 1 Sembung,ChIJA9bPhp4k0i0RkQCfYMcpwNk,Badung Regency
SD No.4 Sembung,ChIJC9-TzzUl0i0RrbCHYWg5dcs,Badung Regency
SD NO 1 PUNGGUL,ChIJB1t3v8U80i0RXwHJE5LWj00,Badung Regency
SD. NO3 CARANGSARI,ChIJC4AY8Tgj0i0RqxWLy0Uccpw,Badung Regency
SD Negeri 2 Taman,ChIJ_8deXNI80i0RoJQUWleBv4o,Badung Regency
SD NO. 5 TAMAN,ChIJYSUNfS4j0i0RESf5kUIjYYk,Badung Regency
Sd No 1 Getasan,ChIJo9GO7IMj0i0RsIC8g_xNW1k,Badung Regency
SD Negeri 1 Werdi Bhuwana,ChIJDTIM5Vg70i0Rrhkdiua16SI,Badung Regency
Sd Negeri 2 Punggul,ChIJEdw7hMM80i0RY0YLt6tMr4o,Badung Regency
SD 1 BONGKASA,ChIJq8vu4Y890i0R1SVAd-HRLyc,Badung Regency
SD No. 2 Ayunan,ChIJ1eRQPaM80i0Re2Odi71mSBs,Badung Regency
SD No. 3 Taman,ChIJi2fuVRcj0i0RY3QQOuQYgJo,Badung Regency
SD No. 4 Blahkiuh,ChIJ37rLGL480i0RCDrFS5X93so,Badung Regency
SD No 4 TAMAN,ChIJLy2nu-o90i0RwV4lIw7x5BA,Badung Regency
SD NO. 3 WERDI BHUWANA,ChIJVVG7FgA70i0RR72p_2svrGM,Badung Regency
SD Negeri 2 Bongkasa,ChIJB5B2HKE90i0RUJUhRLUX2NI,Badung Regency
SD 1 Pangsan,ChIJUVLBjdgj0i0RY16YO26s_TI,Badung Regency
SD 2 Pangsan,ChIJ-cKNTdoj0i0RmovOV9XLB9M,Badung Regency
SD No. 1 Bongkasa Pertiwi,ChIJg62YHtci0i0Rn2JPbNsPkjQ,Badung Regency
SD No. 3 Blahkiuh,ChIJLUJyQZA80i0RTvzTpBLCXEI,Badung Regency
SD 2 Bongkasa Pertiwi,ChIJ1cqmIdci0i0RxizFbVeSHyQ,Badung Regency
SD No 2 Kuwum,ChIJ3-58nYQk0i0RZ4hSInc4VT0,Badung Regency
SD No 2 Getasan,ChIJjRcFLgAj0i0R99oDO5FaGdY,Badung Regency
SD No. 4 Bongkasa,ChIJ0ze3GxdWBAUR9tPSWWBZSvo,Badung Regency
SD No. 1 Baha,ChIJ9VD4j8g70i0RzhXoRuM10KU,Badung Regency
SD No.3 Pangsan,ChIJyXUAoNoj0i0RHXg1TwBB1_Q,Badung Regency
SD N 2 Dauh Yeh Cani,ChIJZ089O4880i0RuHuizykmfEY,Badung Regency
SD No. 2 Baha,ChIJ3avzMXw70i0R5j9XJhznnE4,Badung Regency
SD No 2 Werdi Bhuwana,ChIJR-_5SXA70i0R8fWnVfvCRyM,Badung Regency
SD No. 3 Dauh Yeh Cani,ChIJHzwaDog80i0ReaaoeubpX4c,Badung Regency
Sd no 14 pemecutan,ChIJj4kyS-Mn0i0RRvpi7HbkVtQ,Badung Regency
SD No. 4 Abiansemal Dauh Yeh Cani,ChIJ84ComrU90i0RmU8Z5j_FE6Y,Badung Regency
SD 2 MAMBAL,ChIJGUu78VY80i0RD6mAX8aOTPc,Badung Regency
SD No 1 Petang,ChIJu-YTxd8h0i0RiDZI8efulGc,Badung Regency
SD 5 gulingan,ChIJYTjhTbY90i0RR81McKvPrWQ,Badung Regency
SD No. 2 Mengwi,ChIJLU9VrJ470i0RlEMV34F13hs,Badung Regency
SD NO. 2 PETANG,ChIJWZlVN4Uh0i0RLGd302-4XYY,Badung Regency
SD Negeri 3 Mambal,ChIJsf2cbDg80i0RfMl9sxeGu5w,Badung Regency
SD Negeri 1 Mambal,ChIJAQj4Nzk80i0R1j7gN-SSOFM,Badung Regency
SD No. 1 Mekar Bhuana,ChIJU7xRTQ9XBAURlknYjY_N_jA,Badung Regency
SD No. 3 Mekar Bhuwana,ChIJNxvJATY80i0R7Pj-pntDtD0,Badung Regency
SD No.2 Mekar Bhuana,ChIJv7YmHmg90i0RCSUxbvEgCoY,Badung Regency
